BCO Field Name,manual,BCO_Editor, Galaxy Workflow
bco_id,,x,
checksum,,x,
bco_spec_version,,x,
provenance_domain.name,x,,
provenance_domain.version,x,,
provenance_domain.license,,x,
provenance_domain.created,,x,
provenance_domain.modified,,x,
provenance_domain.contributors.name,x,,
provenance_domain.contributors.orcid,x,,
provenance_domain.contributors.affiliation,x,,
provenance_domain.contributors.email,x,,
usability_domain,x,,
extension_domain.fhir_extension,x,,
extension_domain.scm_extension,x,,
description_domain.keywords,x,,
discription_domain.pipeline_steps.name,,,x
discription_domain.pipeline_steps.version,,,x
discription_domain.pipeline_steps.step_number,,,x
discription_domain.pipeline_steps.input_list.access_time,,,x
discription_domain.pipeline_steps.input_list.sha1_chksum,,,
discription_domain.pipeline_steps.input_list.uri,x,,
discription_domain.pipeline_steps.input_list.filename,,,x
discription_domain.pipeline_steps.output_list.access_time,,,x
discription_domain.pipeline_steps.output_list.sha1_chksum,,,
discription_domain.pipeline_steps.output_list.url,x,,
discription_domain.pipeline_steps.output_list.filename,,,x
parametric_domain.step,x,,
parametric_domain.param,x,,
parametric_domain.value,x,,
execution_domain.external_data_endpoints,x,,
execution_domain.environment_variables,x,,
execution_domain.script_driver,x,,
execution_domain.software_prerequisites,x,,
execution_domain.script,x,,
io_domain.input_subdomain,x,,
io_domain.output_subdomain,x,,